filename,width,height,class,xmin,ymin,xmax,ymax
Town04_004980.png,640,380,vehicle,478,216,640,380
Town04_004980.png,640,380,vehicle,287,195,333,223
Town04_004980.png,640,380,vehicle,409,185,482,223
Town04_004980.png,640,380,vehicle,237,197,286,235
Town04_004980.png,640,380,vehicle,229,182,270,210
Town04_004980.png,640,380,vehicle,144,189,175,205
Town04_004980.png,640,380,vehicle,193,190,221,210
Town02_008460.png,640,380,vehicle,237,189,271,223
Town02_008460.png,640,380,traffic_sign,348,183,358,194
Town02_008460.png,640,380,vehicle,257,186,283,215
Town05_016320.png,640,380,vehicle,554,195,621,215
Town05_016320.png,640,380,vehicle,458,194,531,214
Town05_016320.png,640,380,vehicle,239,185,399,318
Town05_016320.png,640,380,vehicle,96,180,165,215
Town05_016320.png,640,380,traffic_light,393,174,396,182
Town05_016320.png,640,380,traffic_light,226,174,229,182
Town05_016320.png,640,380,traffic_light,347,147,350,155
Town05_016320.png,640,380,traffic_light,320,147,322,155
Town05_016320.png,640,380,traffic_light,297,147,299,155
Town05_016320.png,640,380,traffic_light,210,142,214,151
Town05_016320.png,640,380,traffic_light,198,137,203,147
Town05_016320.png,640,380,traffic_light,186,132,191,143
Town05_002340.png,640,380,traffic_light,384,168,388,179
Town05_002340.png,640,380,traffic_light,114,168,120,179
Town05_002340.png,640,380,traffic_light,321,131,325,143
Town05_002340.png,640,380,traffic_light,283,131,287,143
Town05_002340.png,640,380,traffic_light,251,131,255,143
Town05_002340.png,640,380,traffic_light,59,114,68,129
Town05_002340.png,640,380,traffic_light,11,101,22,118
Town05_002340.png,640,380,traffic_light,456,83,467,104
Town05_002340.png,640,380,traffic_light,486,59,499,86
Town05_002340.png,640,380,traffic_light,544,11,564,49
Town05_002340.png,640,380,vehicle,274,190,288,202
Town03_015800.png,640,380,vehicle,276,200,457,339
Town03_015800.png,640,380,vehicle,221,189,276,208
Town03_015800.png,640,380,vehicle,526,181,599,208
Town03_017760.png,640,380,vehicle,147,192,227,223
Town03_017760.png,640,380,traffic_light,354,129,359,141
Town03_017760.png,640,380,traffic_light,398,125,403,137
Town03_017760.png,640,380,traffic_light,441,121,446,134
Town03_017760.png,640,380,vehicle,111,188,191,219
Town02_005940.png,640,380,vehicle,289,197,351,246
Town02_005940.png,640,380,traffic_light,361,166,367,188
Town05_014640.png,640,380,traffic_light,379,168,383,179
Town05_014640.png,640,380,traffic_light,89,166,95,178
Town05_014640.png,640,380,traffic_light,317,132,321,143
Town05_014640.png,640,380,traffic_light,279,131,283,143
Town05_014640.png,640,380,traffic_light,248,131,251,143
Town05_014640.png,640,380,traffic_light,24,108,34,124
Town05_014640.png,640,380,traffic_light,474,72,486,96
Town05_014640.png,640,380,traffic_light,512,43,527,73
Town05_014640.png,640,380,traffic_light,592,1,616,25
Town05_014640.png,640,380,vehicle,258,188,275,203
Town05_014640.png,640,380,vehicle,200,188,221,199
Town03_019940.png,640,380,vehicle,305,189,322,200
Town03_015880.png,640,380,vehicle,276,200,457,339
Town03_015880.png,640,380,vehicle,526,181,599,208
Town03_015880.png,640,380,bike,235,188,250,204
Town03_015880.png,640,380,bike,301,194,320,207
Town03_018140.png,640,380,bike,296,188,344,310
Town03_018140.png,640,380,vehicle,272,192,297,209
Town03_018140.png,640,380,traffic_light,377,126,381,138
Town03_018140.png,640,380,traffic_light,337,126,341,138
Town03_018140.png,640,380,traffic_light,99,107,107,123
Town03_018140.png,640,380,traffic_light,56,91,67,110
Town03_015020.png,640,380,vehicle,246,203,394,305
Town03_015020.png,640,380,traffic_light,362,140,365,148
Town03_015020.png,640,380,traffic_light,333,140,335,148
Town03_015020.png,640,380,traffic_light,167,130,173,141
Town03_015020.png,640,380,traffic_light,148,123,154,135
Town03_015020.png,640,380,traffic_light,118,112,126,126
Town03_015020.png,640,380,vehicle,285,167,356,242
Town01_004020.png,640,380,vehicle,198,202,449,380
Town01_004020.png,640,380,traffic_light,402,141,413,182
Town03_014080.png,640,380,vehicle,274,191,313,209
Town03_014080.png,640,380,vehicle,0,188,87,228
Town03_014080.png,640,380,traffic_light,351,144,354,153
Town03_014080.png,640,380,traffic_light,322,144,325,152
Town03_014080.png,640,380,traffic_light,289,144,291,152
Town03_014080.png,640,380,traffic_light,158,132,164,143
Town03_014080.png,640,380,traffic_light,137,124,143,137
Town03_014080.png,640,380,traffic_light,103,113,111,127
Town03_014080.png,640,380,traffic_light,534,98,543,116
Town03_014080.png,640,380,traffic_light,590,72,603,96
